2.4971 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
88.7276 	EXP 	fixation: autoDraw = True
89.7326 	EXP 	fixation: autoDraw = False
89.7326 	EXP 	grating: autoDraw = True
89.7326 	EXP 	grating: tex = 'sin'
90.0323 	EXP 	grating: autoDraw = False
90.3513 	EXP 	window1: recordFrameIntervals = False
90.3525 	DATA 	Keypress: right
90.3653 	EXP 	fixation: autoDraw = False
90.3653 	EXP 	grating: autoDraw = False
90.3655 	EXP 	window1: recordFrameIntervals = False
91.3452 	EXP 	fixation: autoDraw = True
92.3484 	EXP 	fixation: autoDraw = False
92.3484 	EXP 	grating: autoDraw = True
92.3484 	EXP 	grating: tex = 'sin'
92.6480 	EXP 	grating: autoDraw = False
92.9007 	EXP 	window1: recordFrameIntervals = False
92.9021 	DATA 	Keypress: right
92.9147 	EXP 	fixation: autoDraw = False
92.9147 	EXP 	grating: autoDraw = False
92.9149 	EXP 	window1: recordFrameIntervals = False
93.8943 	EXP 	fixation: autoDraw = True
94.8974 	EXP 	fixation: autoDraw = False
94.8974 	EXP 	grating: autoDraw = True
94.8974 	EXP 	grating: tex = 'sin'
95.1973 	EXP 	grating: autoDraw = False
95.6495 	EXP 	window1: recordFrameIntervals = False
95.6507 	DATA 	Keypress: right
95.6640 	EXP 	fixation: autoDraw = False
95.6640 	EXP 	grating: autoDraw = False
95.6642 	EXP 	window1: recordFrameIntervals = False
96.6429 	EXP 	fixation: autoDraw = True
97.6466 	EXP 	fixation: autoDraw = False
97.6466 	EXP 	grating: autoDraw = True
97.6466 	EXP 	grating: tex = 'sin'
97.9463 	EXP 	grating: autoDraw = False
98.4152 	EXP 	window1: recordFrameIntervals = False
98.4162 	DATA 	Keypress: right
98.4294 	EXP 	fixation: autoDraw = False
98.4294 	EXP 	grating: autoDraw = False
98.4296 	EXP 	window1: recordFrameIntervals = False
99.4084 	EXP 	fixation: autoDraw = True
100.4122 	EXP 	fixation: autoDraw = False
100.4122 	EXP 	grating: autoDraw = True
100.4122 	EXP 	grating: tex = 'sin'
100.7123 	EXP 	grating: autoDraw = False
101.2977 	EXP 	window1: recordFrameIntervals = False
101.2990 	DATA 	Keypress: right
101.3119 	EXP 	fixation: autoDraw = False
101.3119 	EXP 	grating: autoDraw = False
101.3121 	EXP 	window1: recordFrameIntervals = False
102.2911 	EXP 	fixation: autoDraw = True
103.2946 	EXP 	fixation: autoDraw = False
103.2946 	EXP 	grating: autoDraw = True
103.2946 	EXP 	grating: tex = 'sin'
103.5943 	EXP 	grating: autoDraw = False
103.7633 	EXP 	window1: recordFrameIntervals = False
103.7645 	DATA 	Keypress: left
103.7777 	EXP 	fixation: autoDraw = False
103.7777 	EXP 	grating: autoDraw = False
103.7779 	EXP 	window1: recordFrameIntervals = False
104.7568 	EXP 	fixation: autoDraw = True
105.7605 	EXP 	fixation: autoDraw = False
105.7605 	EXP 	grating: autoDraw = True
